Text_ID,English,French,German,Spanish,Italian,Portuguese,Japanese,Korean,Chinese_Simplified,Chinese_Traditional,Thai
TooltipDismembermentStackLimit,Max stacks for dismemberment (per limb),Nombre maximal de charges pour le démembrement (par membre),Maximale Stapel für die Abtrennung (pro Gliedmaße),Máximo de acumulaciones para desmembramiento (por extremidad),Numero massimo di pile per lo smembramento (per arto),Acúmulos máximos para desmembramento (por membro),切断の最大スタック数（手足あたり）,사지 절단 최대 스택 수 (사지별),肢体残害的最大堆叠次数（每条肢体）,肢體殘害的最大堆疊次數（每條肢體）,จำนวนสแต็คสูงสุดสำหรับการตัดแขนขา (ต่อแขนขา)
TooltipDurationPreset,Bleed duration preset. Default is the balanced middle value.,Durée de saignement prédéfinie. La valeur par défaut est la valeur moyenne équilibrée.,Voreinstellung für die Überblenddauer. Standardwert ist der ausgewogene Mittelwert.,Preajuste de duración de sangrado. El valor predeterminado es el valor medio equilibrado.,Durata del sanguinamento preimpostata. Il valore predefinito è il valore intermedio bilanciato.,Duração do sangramento predefinida. O padrão é o valor médio equilibrado.,裁ち落とし期間のプリセット。デフォルトはバランスの取れた中間値です。,출혈 지속 시간 사전 설정. 기본값은 균형 잡힌 중간 값입니다.,出血持续时间预设值。默认值为中间平衡值。,出血持續時間預設值。預設值為中間平衡值。,ตั้งค่าระยะเวลาการรั่วไหลล่วงหน้า ค่าเริ่มต้นคือค่ากลางที่สมดุล
TooltipEnableMod,Master switch for the entire mod,Interrupteur principal pour l'ensemble du mod,Hauptschalter für die gesamte Modifikation,Interruptor maestro para todo el mod,Interruttore principale per l'intera mod,Interruptor principal para todo o mod,モッド全体のマスタースイッチ,전체 모드의 마스터 스위치,整个模块的总开关,整個模組的總開關,สวิตช์หลักสำหรับโมดิฟายทั้งหมด
TooltipFireMultiplier,"DOT damage multiplier for fire attacks. While active, creature has Burning visual effect. 0.0x disables DOT from fire entirely.","Multiplicateur de dégâts sur la durée pour les attaques de feu. Tant que cet effet est actif, la créature subit un effet visuel de brûlure. La valeur 0,0x désactive complètement les dégâts sur la durée de feu.","Schadensmultiplikator für Feuerangriffe. Solange aktiv, hat die Kreatur den visuellen Effekt „Brennend“. 0,0x deaktiviert den Schaden durch Feuer vollständig.","Multiplicador de daño por daño en el tiempo para ataques de fuego. Mientras está activo, la criatura tiene el efecto visual de quemar. 0.0x desactiva por completo el daño en el tiempo del fuego.","Moltiplicatore di danni nel tempo per gli attacchi di fuoco. Mentre è attivo, la creatura ha un effetto visivo di Bruciatura. 0,0x disattiva completamente i danni nel tempo causati dal fuoco.","Multiplicador de dano contínuo (DOT) para ataques de fogo. Enquanto ativo, a criatura apresenta o efeito visual de Queimadura. 0,0x desativa completamente o DOT de fogo.",火炎攻撃のDOTダメージ係数。発動中、クリーチャーは「燃焼」の視覚効果を持つ。0.0xにすると、火炎攻撃によるDOTダメージが完全に無効化される。,화염 공격에 대한 지속 피해 배율입니다. 활성화되면 생명체에게 불타는 듯한 시각 효과가 나타납니다. 0.0x로 설정하면 화염 공격으로 인한 지속 피해 효과가 완전히 사라집니다.,火焰攻击的持续伤害倍率。激活时，生物会获得燃烧视觉效果。0.0x 表示完全禁用火焰的持续伤害效果。,火焰攻擊的持續傷害倍率。啟動時，生物會獲得燃燒視覺效果。 0.0x 表示完全禁用火焰的持續傷害效果。,"ตัวคูณความเสียหายแบบต่อเนื่อง (DOT) สำหรับการโจมตีด้วยไฟ ขณะใช้งาน สิ่งมีชีวิตจะมีเอฟเฟกต์ภาพ ""ลุกไหม้"" ค่า 0.0x จะปิดใช้งานความเสียหายแบบต่อเนื่องจากไฟโดยสมบูรณ์"
TooltipFrequencyPreset,Tick frequency preset. Default is the balanced middle value.,Préréglage de la fréquence de tic. La valeur par défaut est la valeur moyenne équilibrée.,Voreinstellung für die Tickfrequenz. Standardwert ist der ausgewogene Mittelwert.,Frecuencia de tick preestablecida. El valor predeterminado es el valor medio equilibrado.,Frequenza di tick preimpostata. Il valore predefinito è il valore medio bilanciato.,Frequência de pulso predefinida. O padrão é o valor médio equilibrado.,ティック周波数のプリセット。デフォルトはバランスのとれた中間値です。,틱 빈도 사전 설정입니다. 기본값은 균형 잡힌 중간 값입니다.,滴答频率预设值。默认值为平衡中间值。,滴答頻率預設值。預設值為平衡中間值。,ตั้งค่าความถี่ของเข็มนาฬิกาไว้ล่วงหน้า ค่าเริ่มต้นคือค่ากลางที่สมดุล
TooltipHeadChance,Chance for head wounds to cause bleeding,Risque d'hémorragie suite à une blessure à la tête,"Gefahr, dass Kopfverletzungen Blutungen verursachen",Posibilidad de que las heridas en la cabeza provoquen sangrado,Possibilità che le ferite alla testa causino sanguinamento,Possibilidade de ferimentos na cabeça causarem sangramento.,頭部の傷による出血の可能性,머리 부상으로 출혈이 발생할 가능성,头部受伤导致出血的几率,頭部受傷導致出血的幾率,โอกาสที่บาดแผลที่ศีรษะจะทำให้เกิดเลือดออก
TooltipHeadDamage,Base damage per tick for head wounds,Dégâts de base par tic pour les blessures à la tête,Grundschaden pro Tick für Kopfverletzungen,Daño base por tictac para heridas en la cabeza,Danni base per zecca per ferite alla testa,Dano base por pulso para ferimentos na cabeça,頭部の傷に対する1ティックあたりの基本ダメージ,머리 부상에 대한 틱당 기본 피해량,头部伤口每跳基础伤害,頭部傷口每跳基礎傷害,ความเสียหายพื้นฐานต่อครั้งสำหรับบาดแผลที่ศีรษะ
TooltipHeadDuration,How long head bleeds last,Combien de temps durent les saignements de tête ?,Wie lange dauern Kopfblutungen an?,¿Cuánto duran las hemorragias en la cabeza?,Quanto durano le emorragie alla testa?,Quanto tempo dura um sangramento na cabeça?,頭からの出血はどのくらい続くか,두피 출혈은 얼마나 오래 지속되나요?,头部出血会持续多久？,頭部出血會持續多久？,เลือดออกที่ศีรษะจะนานแค่ไหน
TooltipHeadEnabled,Enable bleeding from head wounds,Provoquer un saignement des plaies à la tête,Ermöglichen Sie die Blutung aus Kopfverletzungen.,Permitir el sangrado de las heridas en la cabeza,Consentire il sanguinamento dalle ferite alla testa,Permitir sangramento de ferimentos na cabeça,頭部の傷からの出血を可能にする,머리 부상으로 인한 출혈을 활성화합니다.,使头部伤口出血,使頭部傷口出血,เปิดใช้งานการหลั่งจากบาดแผลที่ศีรษะ
TooltipHeadFrequency,Time between bleed ticks for head wounds,Délai entre les saignements pour les plaies à la tête,Zeit zwischen den Blutungszyklen bei Kopfverletzungen,Tiempo entre garrapatas de sangrado para heridas en la cabeza,Tempo tra le zecche sanguinanti per le ferite alla testa,Intervalo entre os testes de sangramento para ferimentos na cabeça,頭部の傷の出血間隔,두부 손상 시 출혈 간격,头部伤口出血蜱虫叮咬间隔时间,頭部傷口出血蜱蟲叮咬間隔時間,ระยะเวลาระหว่างการตกเลือดจากเห็บสำหรับบาดแผลที่ศีรษะ
TooltipHeadStackLimit,Max stacks for head wounds,Nombre maximal de cumuls pour les blessures à la tête,Maximale Stapel für Kopfverletzungen,Máximo de acumulaciones para heridas en la cabeza,Numero massimo di colpi per ferite alla testa,Acúmulos máximos para ferimentos na cabeça,頭部の傷の最大スタック,머리 부상에 대한 최대 스택,头部伤口最大叠加层数,頭部傷口最大疊加數,จำนวนสแต็คสูงสุดสำหรับบาดแผลที่ศีรษะ
TooltipLegChance,Chance for leg wounds to cause bleeding,Risque d'hémorragie suite à des blessures aux jambes,"Gefahr, dass Beinverletzungen zu Blutungen führen",Posibilidad de que las heridas en las piernas provoquen sangrado,Possibilità che le ferite alle gambe causino sanguinamento,Possibilidade de ferimentos nas pernas causarem sangramento,足の傷による出血の可能性,다리 부상으로 출혈이 발생할 가능성,腿部伤口出血的几率,腿部傷口出血的幾率,โอกาสที่บาดแผลที่ขาจะทำให้เกิดเลือดออก
TooltipLegDamage,Base damage per tick for leg wounds,Dégâts de base par tick pour les blessures aux jambes,Grundschaden pro Tick für Beinwunden,Daño base por tictac para heridas en las piernas,Danni base per zecca per ferite alle gambe,Dano base por pulso para ferimentos nas pernas,脚の傷に対する1ティックあたりの基本ダメージ,다리 부상에 대한 틱당 기본 피해량,腿部伤口每跳基础伤害,腿部傷口每跳基礎傷害,ความเสียหายพื้นฐานต่อครั้งสำหรับบาดแผลที่ขา
TooltipLegDuration,How long leg bleeds last,Combien de temps durent les saignements de jambe ?,Wie lange dauern Beinblutungen an?,¿Cuánto dura el sangrado en las piernas?,Quanto durano le emorragie alle gambe?,Quanto tempo dura o sangramento na perna?,足の出血はどれくらい続くか,다리 출혈은 얼마나 오래 지속되나요?,腿部出血持续多久？,腿部出血持續多久？,เลือดที่ไหลออกจากขาจะไหลนานแค่ไหน
TooltipLegEnabled,Enable bleeding from leg wounds,Autoriser le saignement des plaies aux jambes,Ermöglichen Sie die Blutung aus Beinwunden.,Permitir el sangrado de las heridas en las piernas,Consentire il sanguinamento dalle ferite alle gambe,Permitir o sangramento de feridas nas pernas,足の傷からの出血を可能にする,다리 상처에서 출혈이 발생하도록 합니다.,使腿部伤口出血,使腿部傷口出血,อนุญาตให้เลือดไหลออกจากบาดแผลที่ขาได้
TooltipLegFrequency,Time between bleed ticks for leg wounds,Délai entre les saignements pour les plaies aux jambes,Zeit zwischen den Blutungszyklen bei Beinwunden,Tiempo entre garrapatas de sangrado para heridas en las piernas,Tempo tra le zecche sanguinanti per le ferite alle gambe,Intervalo entre as aplicações de carrapatos para sangramento em feridas nas pernas,脚の傷の出血間隔,다리 상처의 출혈 간격,腿部伤口出血蜱虫叮咬的时间间隔,腿部傷口出血蜱蟲叮咬的時間間隔,ระยะเวลาระหว่างการกัดของเห็บสำหรับบาดแผลที่ขา
TooltipLegStackLimit,Max stacks for leg wounds,Nombre maximal de piles pour les blessures aux jambes,Maximale Stapel für Beinwunden,Máximo de acumulaciones para heridas en las piernas,Massime pile per ferite alle gambe,Acúmulos máximos para ferimentos nas pernas,脚の傷の最大スタック,다리 부상에 대한 최대 스택,腿部伤口最大叠加层数,腿部傷口最大疊加數,จำนวนสแต็คสูงสุดสำหรับบาดแผลที่ขา
TooltipLightningMultiplier,"DOT damage multiplier for lightning attacks. While active, creature has Electrocute visual effect. 0.0x disables DOT from lightning entirely.","Multiplicateur de dégâts sur la durée pour les attaques de foudre. Tant que cet effet est actif, la créature subit l'effet visuel d'électrocution. La valeur 0,0x désactive complètement les dégâts sur la durée de la foudre.","Schadensmultiplikator für Blitzangriffe. Solange aktiv, erleidet die Kreatur den visuellen Effekt „Elektrisieren“. 0,0x deaktiviert den Schaden durch Blitze vollständig.","Multiplicador de daño por daño en el tiempo (DOT) para ataques de rayo. Mientras está activo, la criatura tiene el efecto visual de Electrocutar. 0.0x desactiva por completo el DOT de los rayos.","Moltiplicatore di danni nel tempo per gli attacchi con fulmini. Mentre è attivo, la creatura ha l'effetto visivo di Elettroshock. 0,0x disattiva completamente i danni nel tempo causati dai fulmini.","Multiplicador de dano contínuo (DOT) para ataques de relâmpago. Enquanto ativo, a criatura recebe o efeito visual de Eletrocutar. 0,0x desativa completamente o DOT de relâmpagos.",雷属性攻撃のDOTダメージ係数。発動中、クリーチャーは感電のビジュアルエフェクトを付与します。0.0x にすると、雷属性攻撃によるDOTダメージは完全に無効化されます。,번개 공격에 대한 지속 피해 배율입니다. 활성화되면 생명체에게 감전 시각 효과가 적용됩니다. 0.0x로 설정하면 번개 공격으로 인한 지속 피해 효과가 완전히 사라집니다.,闪电攻击的持续伤害倍率。激活时，生物获得电击视觉效果。0.0x 会完全禁用闪电造成的持续伤害。,閃電攻擊的持續傷害倍率。啟動時，生物獲得電擊視覺效果。 0.0x 會完全停用閃電造成的持續傷害。,ตัวคูณความเสียหายแบบต่อเนื่อง (DOT) สำหรับการโจมตีด้วยสายฟ้า ขณะใช้งาน สิ่งมีชีวิตจะมีเอฟเฟกต์ภาพ Electrocute ค่า 0.0x จะปิดใช้งานความเสียหายแบบต่อเนื่องจากสายฟ้าโดยสมบูรณ์
TooltipNeckChance,Chance for neck wounds to cause bleeding,Risque d'hémorragie suite à une blessure au cou,"Gefahr, dass Halsverletzungen zu Blutungen führen",Posibilidad de que las heridas del cuello provoquen sangrado,Possibilità che le ferite al collo causino sanguinamento,Possibilidade de ferimentos no pescoço causarem sangramento,首の傷による出血の可能性,목 부위 상처로 출혈이 발생할 가능성이 있습니다.,颈部伤口出血的几率,頸部傷口出血的幾率,โอกาสที่บาดแผลบริเวณคอจะทำให้เกิดเลือดออก
TooltipNeckDamage,Base damage per tick for neck wounds,Dégâts de base par tic pour les blessures au cou,Grundschaden pro Tick für Halswunden,Daño base por tictac para heridas en el cuello,Danni base per zecca per ferite al collo,Dano base por pulso para ferimentos no pescoço,首の傷に対する1回あたりの基本ダメージ,목 부상에 대한 틱당 기본 피해량,颈部伤口每跳基础伤害,頸部傷口每跳基礎傷害,ความเสียหายพื้นฐานต่อครั้งสำหรับบาดแผลที่คอ
TooltipNeckDuration,How long neck bleeds last,Combien de temps durent les saignements de cou ?,Wie lange dauern Halsblutungen an?,¿Cuánto duran los sangrados del cuello?,Quanto durano le emorragie al collo?,Quanto tempo dura o sangramento no pescoço?,首の出血はどのくらい続くか,목에서 나는 출혈은 얼마나 오래 지속되나요?,颈部出血会持续多久？,頸部出血會持續多久？,เลือดออกที่คอจะนานแค่ไหน
TooltipNeckEnabled,Enable bleeding from neck wounds,Autoriser le saignement des plaies au cou,Blutungen aus Halswunden ermöglichen,Permitir el sangrado de las heridas del cuello,Consentire il sanguinamento dalle ferite al collo,Permitir o sangramento de feridas no pescoço,首の傷からの出血を可能にする,목 부위 상처에서 출혈이 발생하도록 합니다.,使颈部伤口出血,使頸部傷口出血,อนุญาตให้เลือดไหลออกจากบาดแผลที่คอ
TooltipNeckFrequency,Time between bleed ticks for neck wounds,Délai entre les saignements pour les plaies au cou,Zeit zwischen den Blutungszyklen bei Halswunden,Tiempo entre garrapatas de sangrado para heridas en el cuello,Tempo tra le zecche sanguinanti per le ferite al collo,Intervalo entre os sangramentos em feridas no pescoço,首の傷の出血間隔,목 부위 상처의 출혈 간격,颈部伤口出血蜱虫叮咬的时间间隔,頸部傷口出血蜱蟲叮咬的時間間隔,ระยะเวลาระหว่างการกัดของเห็บสำหรับบาดแผลที่คอ
TooltipNeckStackLimit,Max stacks for neck wounds,Nombre maximal de piles pour les blessures au cou,Maximale Stapel bei Halswunden,Máximas acumulaciones para heridas en el cuello,Numero massimo di pile per ferite al collo,Acúmulos máximos para ferimentos no pescoço,首の傷に対する最大スタック,목 부상에 대한 최대 스택,颈部伤口最大叠加层数,頸部傷口最大疊加數,จำนวนสแต็คสูงสุดสำหรับบาดแผลที่คอ
TooltipPierceMultiplier,DOT damage multiplier for pierce attacks. 0.0x disables DOT from pierce entirely.,"Multiplicateur de dégâts sur la durée pour les attaques perforantes. 0,0x désactive complètement les dégâts sur la durée des attaques perforantes.","Schadensmultiplikator für Stichangriffe. 0,0x deaktiviert den Schaden-über-Zeit-Effekt durch Stichangriffe vollständig.",Multiplicador de daño DOT para ataques de perforación. 0.0x deshabilita por completo el DOT de la perforación.,"Moltiplicatore di danni nel tempo per gli attacchi perforanti. 0,0x disattiva completamente i danni nel tempo per gli attacchi perforanti.","Multiplicador de dano contínuo (DOT) para ataques perfurantes. 0,0x desativa completamente o DOT de ataques perfurantes.",貫通攻撃の DOT ダメージ乗数。0.0x は貫通攻撃からの DOT を完全に無効にします。,관통 공격에 대한 지속 피해 배율입니다. 0.0x로 설정하면 관통 공격으로 인한 지속 피해가 완전히 사라집니다.,穿透攻击的持续伤害倍率。0.0x 表示完全禁用穿透攻击的持续伤害效果。,穿透攻擊的持續傷害倍率。 0.0x 表示完全禁用穿透攻擊的持續傷害效果。,ตัวคูณความเสียหายแบบต่อเนื่อง (DOT) สำหรับการโจมตีแบบเจาะทะลุ 0.0x จะปิดใช้งาน DOT สำหรับการโจมตีแบบเจาะทะลุโดยสิ้นเชิง
TooltipProfilePreset,"Profile determines which damage types trigger DOT effects. Default = all types, Bleed Only = physical only, Elemental Only = fire/lightning/energy only.","Le profil détermine quels types de dégâts déclenchent les effets de dégâts sur la durée. Par défaut : tous les types ; Saignement uniquement : dégâts physiques uniquement ; Élémentaire uniquement : dégâts de feu, de foudre ou d’énergie uniquement.","Das Profil bestimmt, welche Schadensarten DoT-Effekte auslösen. Standard = alle Arten, Nur Blutung = nur physischer Schaden, Nur Elementarschaden = nur Feuer-/Blitz-/Energieschaden.","El perfil determina qué tipos de daño activan efectos de daño en el tiempo. Predeterminado: todos los tipos, Solo sangrado: solo físico, Solo elemental: solo fuego/rayo/energía.","Il profilo determina quali tipi di danno attivano effetti DOT. Predefinito = tutti i tipi, Solo Sanguinamento = solo fisico, Solo Elementale = solo fuoco/fulmine/energia.","O perfil determina quais tipos de dano ativam efeitos de dano contínuo (DOT). Padrão = todos os tipos, Apenas Sangramento = apenas dano físico, Apenas Elemental = apenas dano de fogo/raio/energia.",プロファイルは、DOT効果を発動するダメージの種類を決定します。デフォルト = 全種類、出血のみ = 物理のみ、属性のみ = 火炎/雷撃/エネルギーのみ。,"프로필은 지속 피해 효과를 유발하는 피해 유형을 결정합니다. 기본값 = 모든 유형, 출혈 전용 = 물리 피해만, 원소 전용 = 화염/번개/에너지 피해만.",配置决定哪些伤害类型会触发持续伤害效果。默认值为所有类型，仅流血为物理伤害，仅元素为火焰/闪电/能量伤害。,配置決定哪些傷害類型會觸發持續傷害效果。預設值為所有類型，僅流血為物理傷害，僅元素為火焰/閃電/能量傷害。,"โปรไฟล์จะกำหนดประเภทความเสียหายที่จะทำให้เกิดเอฟเฟกต์ DOT (Damage over Time) ค่าเริ่มต้น = ทุกประเภท, เลือดออกเท่านั้น = เฉพาะความเสียหายทางกายภาพ, ธาตุเท่านั้น = เฉพาะความเสียหายจากไฟ/สายฟ้า/พลังงาน"
TooltipSlashMultiplier,DOT damage multiplier for slash attacks. 0.0x disables DOT from slash entirely.,"Multiplicateur de dégâts sur la durée pour les attaques tranchantes. 0,0x désactive complètement les dégâts sur la durée des attaques tranchantes.","Schadensmultiplikator für Hiebangriffe. 0,0x deaktiviert den Schadenseffekt von Hiebangriffen vollständig.",Multiplicador de daño DOT para ataques de corte. 0.0x deshabilita por completo el DOT de los ataques de corte.,"Moltiplicatore di danni nel tempo per gli attacchi di taglio. 0,0x disattiva completamente i danni nel tempo per gli attacchi di taglio.","Multiplicador de dano contínuo (DOT) para ataques cortantes. 0,0x desativa completamente o DOT de ataques cortantes.",スラッシュ攻撃の DOT ダメージ乗数。0.0x はスラッシュからの DOT を完全に無効にします。,베기 공격에 대한 지속 피해 배율입니다. 0.0x로 설정하면 베기 공격으로 인한 지속 피해가 완전히 사라집니다.,斩击的持续伤害倍率。0.0x 表示完全禁用斩击的持续伤害效果。,斬擊的持續傷害倍率。 0.0x 表示完全停用斬擊的持續傷害效果。,ตัวคูณความเสียหายแบบต่อเนื่อง (DOT) สำหรับการโจมตีแบบฟัน 0.0x จะปิดใช้งานความเสียหายแบบต่อเนื่องจากการโจมตีแบบฟันโดยสิ้นเชิง
TooltipThroatChance,Chance for throat wounds to cause bleeding,Risque de saignement suite à une blessure à la gorge,"Gefahr, dass Halswunden Blutungen verursachen",Posibilidad de que las heridas en la garganta provoquen sangrado,Possibilità che le ferite alla gola causino sanguinamento,Possibilidade de ferimentos na garganta causarem sangramento,喉の傷による出血の可能性,목에 입은 상처로 출혈이 발생할 가능성,喉咙伤口导致出血的几率,喉嚨傷口導致出血的幾率,โอกาสที่บาดแผลในลำคอจะทำให้เกิดเลือดออก
TooltipThroatDamage,Base damage per tick for throat wounds,Dégâts de base par tic pour les blessures à la gorge,Grundschaden pro Tick für Halswunden,Daño base por garrapata para heridas de garganta,Danni base per zecca per ferite alla gola,Dano base por pulso para ferimentos na garganta,喉の傷に対する1回あたりの基本ダメージ,목 부상에 대한 틱당 기본 피해량,喉部伤口每跳基础伤害,喉部傷口每跳基礎傷害,ความเสียหายพื้นฐานต่อครั้งสำหรับบาดแผลที่ลำคอ
TooltipThroatDuration,How long throat bleeds last,Combien de temps durent les saignements de gorge ?,Wie lange dauern Halsblutungen an?,¿Cuánto dura el sangrado de garganta?,Quanto durano le emorragie alla gola?,Quanto tempo dura o sangramento na garganta?,喉の出血はどれくらい続くか,목에서 나는 출혈은 얼마나 오래 지속되나요?,喉咙出血会持续多久？,喉嚨出血會持續多久？,เลือดกำเดาไหลนานแค่ไหน
TooltipThroatEnabled,Enable bleeding from throat wounds,Provoquer un saignement au niveau des plaies à la gorge,Ermöglichen Sie die Blutung aus Halswunden,Facilitar el sangrado de heridas en la garganta,Consentire il sanguinamento dalle ferite alla gola,Permitir o sangramento de feridas na garganta,喉の傷からの出血を可能にする,목 부위 상처에서 출혈이 발생하도록 합니다.,使喉咙伤口出血,使喉嚨傷口出血,ช่วยให้เลือดไหลออกจากบาดแผลที่ลำคอได้
TooltipThroatFrequency,Time between bleed ticks for throat wounds,Délai entre les saignements pour les plaies à la gorge,Zeit zwischen den Blutungszyklen bei Halswunden,Tiempo entre garrapatas de sangrado para heridas de garganta,Tempo tra le zecche sanguinanti per le ferite alla gola,Intervalo entre carrapatos para sangramento de feridas na garganta,喉の傷の出血間隔,목 부위 상처의 출혈 간격,两次蜱虫叮咬喉咙伤口的时间间隔,兩次蜱蟲叮咬喉嚨傷口的時間間隔,ระยะเวลาระหว่างการกัดของเห็บต่อบาดแผลที่ลำคอ
TooltipThroatStackLimit,Max stacks for throat wounds,Nombre maximal de piles pour les blessures à la gorge,Maximale Stapel für Halswunden,Máximas acumulaciones para heridas de garganta,Massime pile per ferite alla gola,Acúmulos máximos para ferimentos na garganta,喉の傷に最大スタック,목 부상에 대한 최대 스택,喉部伤口最大叠加层数,喉部傷口最大疊加層數,จำนวนสแต็คสูงสุดสำหรับบาดแผลที่ลำคอ
TooltipTorsoChance,Chance for torso wounds to cause bleeding,Risque d'hémorragie liée aux blessures au torse,"Gefahr, dass Verletzungen am Rumpf zu Blutungen führen",Posibilidad de que las heridas en el torso provoquen sangrado,Possibilità che le ferite al torso causino sanguinamento,Possibilidade de ferimentos no tronco causarem sangramento,胴体の傷による出血の可能性,몸통 부위 부상으로 출혈이 발생할 가능성,躯干伤口导致出血的几率,軀幹傷口導致出血的幾率,โอกาสที่บาดแผลบริเวณลำตัวจะทำให้เกิดเลือดออก
TooltipTorsoDamage,Base damage per tick for torso wounds,Dégâts de base par itération pour les blessures au torse,Grundschaden pro Tick für Rumpfwunden,Daño base por tic para heridas en el torso,Danno base per tick per ferite al torso,Dano base por pulso para ferimentos no torso,胴体へのダメージに対する1ティックあたりの基本ダメージ,몸통 부상에 대한 틱당 기본 피해량,躯干伤口每跳基础伤害,軀幹傷口每跳基礎傷害,ความเสียหายพื้นฐานต่อวินาทีสำหรับบาดแผลที่ลำตัว
TooltipTorsoDuration,How long torso bleeds last,Combien de temps durent les saignements au niveau du torse ?,Wie lange dauert eine Blutung im Rumpfbereich an?,¿Cuánto dura el sangrado en el torso?,Quanto durano le emorragie del torso?,Quanto tempo dura o sangramento no tronco?,胴体出血はどのくらい続くか,몸통 출혈은 얼마나 오래 지속되나요?,躯干出血会持续多久？,軀幹出血會持續多久？,เลือดออกบริเวณลำตัวจะนานแค่ไหน
TooltipTorsoEnabled,Enable bleeding from torso wounds,Autoriser le saignement des blessures au torse,Blutungen aus Rumpfwunden ermöglichen,Permitir el sangrado de las heridas del torso,Abilitare il sanguinamento dalle ferite del torso,Permitir sangramento de ferimentos no tronco,胴体の傷からの出血を可能にする,몸통 부위 상처에서 출혈이 발생하도록 설정,使躯干伤口出血,使軀幹傷口出血,เปิดใช้งานการแสดงเลือดไหลจากบาดแผลที่ลำตัว
TooltipTorsoFrequency,Time between bleed ticks for torso wounds,Délai entre les saignements pour les plaies au torse,Zeit zwischen den Blutungszyklen bei Rumpfwunden,Tiempo entre garrapatas de sangrado para heridas en el torso,Tempo tra le zecche sanguinanti per le ferite del torso,Intervalo entre os sinais de sangramento em ferimentos no tronco,胴体の傷の出血間隔,몸통 상처의 출혈 간격,躯干伤口出血两次检查之间的时间间隔,軀幹傷口出血兩次檢查之間的時間間隔,ระยะเวลาระหว่างการแทงเข็มเพื่อเก็บเลือดสำหรับบาดแผลที่ลำตัว
TooltipTorsoStackLimit,Max stacks for torso wounds,Nombre maximal de cumuls pour les blessures au torse,Maximale Stapel für Rumpfwunden,Máximo de acumulaciones para heridas en el torso,Numero massimo di ferite al torso,Acúmulos máximos para ferimentos no torso,胴体の傷の最大スタック,몸통 부상에 대한 최대 스택,躯干伤口最大叠加层数,軀幹傷口最大疊加數,จำนวนสแต็คสูงสุดสำหรับบาดแผลที่ลำตัว
